100
0 3 6
3 4 6
4 5 6
5 7 15
7 10 10
10 12 10
12 13 7
13 14 12
14 15 1
15 19 7
19 20 3
20 21 16
21 23 3
23 24 14
24 30 11
30 31 5
31 33 10
33 34 19
34 35 19
35 36 1
36 37 15
37 38 8
38 40 11
40 42 18
42 43 4
43 45 5
45 47 18
47 48 13
48 50 9
50 52 3
52 55 13
55 56 6
56 59 9
59 63 13
63 66 3
66 70 7
70 71 14
71 73 2
73 74 8
74 75 4
75 76 18
76 77 1
77 79 9
79 80 15
80 81 11
81 82 13
82 83 8
83 85 16
85 87 19
87 88 8
88 89 16
89 90 9
90 91 2
91 95 15
95 97 16
97 99 3
0 3 6
3 4 6
4 5 6
5 7 15
7 10 10
10 12 10
12 13 7
13 14 12
14 15 1
15 19 7
19 20 3
20 21 16
21 23 3
23 24 14
24 30 11
30 31 5
31 33 10
33 34 19
34 35 19
35 36 1
36 37 15
37 38 8
38 40 11
40 42 18
42 43 4
43 45 5
45 47 18
47 48 13
48 50 9
50 52 3
52 55 13
55 56 6
56 59 9
59 63 13
63 66 3
66 70 7
70 71 14
71 73 2
73 74 8
74 75 4
75 76 18
76 77 1
77 79 9
79 80 15
80 81 11
81 82 13
82 83 8
83 85 16
85 87 19
87 88 8
88 89 16
89 90 9
90 91 2
91 95 15
95 97 16
97 99 3
63 43 6
83 79 14
42 61 18
89 9 14
3 24 17
6 59 18
94 5 3
58 2 3
86 23 16
47 9 12
60 66 12
13 49 4
24 80 4
34 94 12
37 36 2
47 59 14
26 90 16
16 78 12
61 1 4
63 88 4
4 95 7
1 72 8
98 55 17
83 35 7
10 39 15
95 29 13
76 18 10
8 25 1
12 91 13
45 11 5
55 45 6
33 41 18
39 45 7
65 9 2
93 91 19
51 21 13
16 77 6
57 83 6
57 54 14
21 99 7
34 65 19
51 38 12
14 61 16
94 66 15
75 32 3
46 13 19
73 4 8
64 14 15
98 92 2
1 97 12
23 94 14
42 68 3
23 65 6
51 23 10
92 77 16
46 66 8
41 30 2
89 96 11
76 2 14
78 76 12
41 2 17
35 19 16
52 93 11
95 10 15
63 47 16
29 42 10
70 15 12
11 89 12
55 70 8
38 90 17
28 40 9
83 47 19
66 0 2
56 41 13
49 27 2
1 58 6
29 60 9
21 78 7
37 64 12
58 47 14
32 5 15
85 21 3
50 43 19
70 68 16
97 39 6
1 43 7
31 89 18
31 37 19
5 34 8
15 41 10
97 8 6
28 19 11
78 67 1
19 57 6
37 32 15
24 14 18
81 61 14
55 36 11
60 89 14
45 3 14
34 70 15
66 43 5
5 59 13
96 16 8
10 78 6
29 85 19
45 96 3
73 11 1
45 54 6
33 89 10
77 93 9
44 87 4
4 3 2
54 40 12
36 3 15
34 18 7
94 72 9
12 86 5
65 10 2
50 94 3
5 21 16
17 22 3
46 97 5
48 52 14
95 71 11
9 21 7
37 3 19
90 57 18
29 33 9
17 10 19
11 28 7
2 26 7
92 55 19
3 17 19
98 2 10
35 76 8
77 90 4
43 95 19
25 51 7
73 81 15
58 75 16
67 53 16
67 62 1
97 37 19
56 39 4
93 47 4
89 99 10
1 81 14
79 14 16
17 98 10
23 12 10
72 76 9
18 93 14
54 28 4
52 10 18
66 61 19
72 2 8
39 90 6
65 66 4
66 64 18
98 9 1
42 72 15
56 74 4
48 41 5
19 4 14
17 49 9
16 37 5
54 69 2
10 89 5
62 56 19
47 93 16
46 83 12
54 38 19
47 36 10
12 52 15
6 62 12
16 58 6
53 44 4
6 76 19
88 83 1
22 42 6
97 13 16
76 62 5
78 72 10
84 73 6
16 76 9
58 44 14
42 60 4
57 65 16
22 86 12
69 21 19
12 97 9
65 27 12
25 84 17
69 4 7
2 52 3
33 4 12
74 45 4
84 11 13
85 77 6
19 88 19
66 7 16
57 47 12
